"","quad","month.index","count"
"279","SW",18,42
"280","SW",19,42
"281","SW",20,42
"282","SW",21,42
"283","SW",22,44
"284","SW",23,45
"285","SW",24,49
"286","SW",25,49
"287","SW",26,49
"288","SW",27,49
"289","SW",28,50
"290","SW",29,50
"291","SW",30,50
"292","SW",31,52
"293","SW",32,52
"294","SW",33,55
"295","SW",34,56
"296","SW",35,57
"297","SW",36,61
"298","SW",37,62
"299","SW",38,62
"300","SW",39,60
"301","SW",40,60
"302","SW",41,57
"303","SW",42,60
"304","SW",43,61
"305","SW",44,61
"306","SW",45,58
"307","SW",46,58
"308","SW",47,61
"309","SW",48,61
"310","SW",49,61
"311","SW",50,58
"312","SW",51,58
"313","SW",52,58
"314","SW",53,57
"315","SW",54,58
"316","SW",55,58
"317","SW",56,57
"318","SW",57,56
"319","SW",58,52
"320","SW",59,51
"321","SW",60,56
"322","SW",61,61
"323","SW",62,62
"324","SW",63,62
"325","SW",64,62
"326","SW",65,58
"327","SW",66,55
"328","SW",67,59
"329","SW",68,57
"330","SW",69,59
"331","SW",70,61
"332","SW",71,60
"333","SW",72,60
"334","SW",73,61
"335","SW",74,60
"336","SW",75,61
"337","SW",76,62
"338","SW",77,62
"339","SW",78,61
"340","SW",79,61
"341","SW",80,61
"342","SW",81,61
"343","SW",82,61
"344","SW",83,61
"345","SW",84,61
"346","SW",85,62
"347","SW",86,53
"348","SW",87,31
