ADDRESS,LATITUDE,LONGITUDE
3200 W 55TH STREET,41.7936228,-87.70361814
3200 W 63RD ST,41.77908151,-87.70326037
3200 W 71ST STREET,41.76449743,-87.70287702
3200 W 79TH ST,41.749952,-87.70244848
3200 W ARMITAGE AVENUE,41.91751102,-87.70705364
3200 W BELMONT,41.93944056,-87.70771852
3200 W IRVING PARK ROAD,41.95402905,-87.70807749
3216 W ADDISON ST,41.94673476,-87.70860977
3400 W DIVERSEY AVENUE,41.93208775,-87.71238583
3400 W NORTH AVE,41.91016285,-87.71195387
3500 S WESTERN,41.83018726,-87.68517793
3600 N AUSTIN AVENUE,41.94581322,-87.77665216
3600 N CENTRAL AVENUE,41.94591949,-87.76690459
3600 N CICERO AVENUE,41.94616352,-87.74721517
3600 N ELSTON AVE,41.94654917,-87.70895263
3600 N HARLEM AVENUE,41.94533841,-87.80715477
3600 N WESTERN AVENUE,41.94681992,-87.68840666
3700 W IRVING PARK ROA,41.95373,-87.719084
3800 W MADISON STREET,41.88089727,-87.72088123
3900 S WESTERN BLVD,41.82296363,-87.68438479
400 E 31ST STREET,41.83853402,-87.61704611
400 N CENTRAL AVENUE,41.88780462,-87.7652685
400 N LASALLE,41.88922537,-87.63267412
400 S WESTERN AVENUE,41.87606478,-87.68641563
400 W BELMONT AVE,41.94024119,-87.63963911
4000 N ASHLAND AVENUE,41.95437933,-87.66919912
4000 N AUSTIN AVENUE,41.95314406,-87.77692528
4000 N CENTRAL AVENUE,41.95327275,-87.76715015
4000 N CLARK STREET,41.95443244,-87.66244626
4000 N ELSTON AVENUE,41.95368727,-87.71929788
4000 N PULASKI ROAD,41.95373705,-87.72776661
4000 W 55TH ST,41.79331333,-87.72322304
4000 W 63RD ST,41.77876739,-87.7228232
4000 W 79TH STREET,41.74967936,-87.72197835
4000 W ARMITAGE AVENUE,41.91727507,-87.72662275
4000 W BELMONT AVE,41.93920375,-87.72731013
4000 W CERMAK,41.85165437,-87.72488298
4000 W CHICAGO AVENUE,41.89547675,-87.72614436
4000 W DIVERSEY AVENUE,41.93189772,-87.72710503
4000 W FOSTER AVE,41.97564062,-87.72833547
4000 W FULLERTON AVE,41.92459302,-87.72681927
4000 W IRVING PARK RD,41.95375687,-87.72769851
4000 W LAWRENCE AVENUE,41.96835129,-87.72809167
4000 W MONTROSE AVENUE,41.9610558,-87.72789121
4000 W NORTH AVENUE,41.90999558,-87.72639469
4000 W PETERSON AVENUE,41.99024419,-87.72871439
4000 W ROOSEVELT ROAD,41.866281,-87.72523422
4200 S CICERO AVENUE,41.81672939,-87.74353671
4400 N MILWAUKEE AVEN,41.96061723,-87.75463824
4400 N PULASKI ROAD,41.96102372,-87.72797746
4400 N WESTERN AVENUE,41.96140185,-87.68883262
4400 W GRAND AVE,41.91018141,-87.73624887
4400 W NORTH,41.90986357,-87.7363803
4400 W OGDEN AVENUE,41.84777752,-87.73450597
4400 W ROOSEVELT,41.86614087,-87.73508956
4440 W LAWRENCE AVENUE,41.9682264,-87.73959925
4700 S ASHLAND AVENUE,41.8085116,-87.66511729
4700 S CICERO AVE,41.80753037,-87.74329682
4700 S KEDZIE AVE,41.80804727,-87.70411882
4700 S WESTERN AVENUE,41.80837841,-87.68457072
4700 W IRVING PARK ROA,41.953446,-87.745578
4800 N ASHLAND AVENUE,41.96902343,-87.66959043
4800 N CICERO AVE,41.96804801,-87.74787599
4800 N CICERO AVENUE,41.96804801,-87.74787599
4800 N ELSTON AVENUE,41.96803936,-87.74028389
4800 N PULASKI ROAD,41.9682626,-87.72817532
4800 N WESTERN AVENUE,41.96864073,-87.68905424
4800 W 47TH ST,41.80772702,-87.74322937
4800 W ARMITAGE AVENUE,41.91704199,-87.7461761
4800 W CHICAGO AVENUE,41.89511222,-87.74593243
4800 W DIVERSEY AVENUE,41.93164142,-87.74671991
4800 W FULLERTON AVE,41.92434704,-87.74642764
4800 W HARRISON STREET,41.87324546,-87.74511718
4800 W NORTH AVENUE,41.90973389,-87.74624497
4800 W PETERSON AVENUE,41.99000801,-87.74837695
4932 W FOSTER AVENUE,41.97539461,-87.7517466
500 N COLUMBUS DRIVE,41.89104457,-87.62037184
500 W ROOSEVELT ROAD,41.86736269,-87.6392932
5000 S ARCHER AVE,41.80236597,-87.72357677
5075 W MONTROSE AVENUE,41.96052209,-87.75437142
5100 S WESTERN BLVD,41.8010802,-87.68381821
5200 N BROADWAY ST,41.97641214,-87.66001508
5200 N ELSTON AVENUE,41.9752581,-87.75199056
5200 N NAGLE,41.97568567,-87.78802041
5200 N PULASKI RD,41.97562074,-87.72838314
5200 N SHERIDAN ROAD,41.97649272,-87.65513361
5200 N WESTERN AVE,41.97593337,-87.68929959
5200 S CICERO AVE,41.79855828,-87.74307187
5200 W FULLERTON AVENUE,41.9242158,-87.75621076
5200 W IRVING PARK ROA,41.953299,-87.757148
5200 W MADISON STREET,41.88048075,-87.75513043
5400 S ARCHER AVE,41.79875821,-87.74302054
5500 S ASHLAND AVENUE,41.79359012,-87.664721
5500 S KEDZIE AVENUE,41.79342024,-87.70369751
5500 S PULASKI,41.79315506,-87.72330377
